prefix	content	marker	group	section	subsection	subsubsection	title	section_tag	image_url	context_mask	chunk_summary	group_summary	section_summary
	WARNING	-1	780	3	27	0		34		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	781	3	27	0		34		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
	CAUTION	-1	782	3	27	0		34		1	CAUTION		
	Do not hold engine start/stop switch for more than 15 seconds. Failure to comply may result in damage to equipment.	-1	783	3	27	0		34		0	Do not hold engine start/stop switch for more than 15 seconds. Failure to comply may result in damage to equipment.	Do not hold engine start/stop switch for more than 15 seconds. Failure to comply may result in damage to equipment.	
	NOTE	-1	784	3	27	0		34		1	NOTE		
	Both port and starboard engines contain manual trim switches. The emergency starting process is shown for starboard engine, the procedure is identical for port engine.	-1	785	3	27	0		34		0	Both port and starboard engines contain manual trim switches. The emergency starting process is shown for starboard engine, the procedure is identical for port engine.	Both port and starboard engines contain manual trim switches. The emergency starting process is shown for starboard engine, the procedure is identical for port engine.	
	EMERGENCY STARTING PROCEDURES - Continued	-1	786	3	27	0		34		1	EMERGENCY STARTING PROCEDURES - Continued		
	General Information	-1	786	3	27	0		34		1	General Information		
	Use emergency start only when network communication between engine start button(s) and engine(s) fail. Emergency start requires pushing manual trim buttons located on starboard side of each engine. By pushing manual trim buttons and momentarily activating the trim system, a ten second window is provided allowing for engine start using engine start buttons at console.	-1	787	3	27	0		34		0	Emergency start requires pushing manual trim buttons on starboard side of each engine. A 10-second window is provided allowing for engine starting using engine starts at console if network communication fails - adam mcgill	Emergency start requires pushing manual trim buttons on starboard side of each engine. A 10-second window is provided allowing for engine starting using engine starts at console if network communication fails - adam mcgill	
1.	Turn key to ON position (Figure 1, Item 1). Figure 1. Ignition Key. NOTE Pushing manual trim switch on engine will allow ten second reset to start engine.	2	788	3	27	0		34	data/dod/rib_TM/images/img0241.jpg	0	Turn key to ON position (Figure 1, Item 1). Figure 1. Ignition Key. NOTE Pushing manual trim switch on engine will allow ten second reset to start engine.	Turn key to ON position (Figure 1, Item 1). Figure 1. Ignition Key. NOTE Pushing manual trim switch on engine will allow ten second reset to start engine. Direct assistant to push manual trim switch on starboard engine (Figure 2, Item 1). Figure 2. Manual Tilt/Trim Switch. Push starboard engine start button and start engine (WP 0007). Observe engine monitor for any fault codes (WP 0021).	
2.	Direct assistant to push manual trim switch on starboard engine (Figure 2, Item 1). Figure 2. Manual Tilt/Trim Switch.	2	788	3	27	0		34	data/dod/rib_TM/images/img0242.jpg	0	Direct assistant to push manual trim switch on starboard engine (Figure 2, Item 1). Figure 2. Manual Tilt/Trim Switch.		
3.	Push starboard engine start button and start engine (WP 0007).	2	788	3	27	0		34		0	Push starboard engine start button and start engine (WP 0007).		
4.	Observe engine monitor for any fault codes (WP 0021).	2	788	3	27	0		34		0	Observe engine monitor for any fault codes (WP 0021).		
5.		2	788	3	27	0		34		1			
	If engine(s) fail(s) to start or run, refer to troubleshooting (WP 0040).	-1	789	3	27	0		34		0	If engine(s) fail(s) to start or run, refer to troubleshooting (WP 0040).	If engine(s) fail(s) to start or run, refer to troubleshooting (WP 0040).	
	END OF WORK PACKAGE	-1	789	3	27	0		34		1	END OF WORK PACKAGE		
	0030-2	-1	789	3	27	0		34		1	0030-2		
	OPERATOR INSTRUCTIONS	-1	790	3	27	0		34		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS BOAT IS TAKING ON WATER	-1	791	3	28	0	OPERATION UNDER UNUSUAL CONDITIONS BOAT IS TAKING ON WATER	35		0	OPERATION UNDER UNUSUAL CONDITIONS BOAT IS TAKING ON WATER		Boat taking on water is an extremely dangerous situation. Failure to comply may result in damage and injury or death to personnel, says expert - see below for details! Ensure all crew members have donned personal flotation devices (PFDs) reduce throttle speed of boat to safe operating speeds if necessary ; open port, starboard and center-aft hatche'’s. Check for water intrusion and damage hull lining if needed. Figure 3. Manual Bilge Pump: how to use a manual
	INITIAL SETUP:	-1	792	3	28	0		35		1	INITIAL SETUP:		
	Tools and Special Tools Pump, Reciprocating (WP 0062, Table 2, Item 27)	-1	793	3	28	0		35		0	Tools and Special Tools Pump, Reciprocating (WP 0062, Table 2, Item 27)	Tools and Special Tools Pump, Reciprocating (WP 0062, Table 2, Item 27) Equipment Condition Boat underway (WP 0010)	
	Personnel Required Diver 12D Assistant	-1	793	3	28	0		35		1	Personnel Required Diver 12D Assistant		
	Equipment Condition Boat underway (WP 0010)	-1	793	3	28	0		35		0	Equipment Condition Boat underway (WP 0010)		
	Emergency Dewatering Procedures	-1	794	3	28	0		35		1	Emergency Dewatering Procedures		
	WARNING	-1	794	3	28	0		35		1	WARNING		
	Boat taking on water is an extremely dangerous situation. Once water flow has been mitigated, operator should return to shore immediately at safe operating speed. Failure to comply may result in damage to equipment and injury or death to personnel.	-1	795	3	28	0		35		0	Boat taking on water is an extremely dangerous situation. Once water flow has been mitigated, operator should return to shore immediately at safe operating speed. Failure to comply may result in damage to equipment and injury or death to personnel.	Boat taking on water is an extremely dangerous situation. Once water flow has been mitigated, operator should return to shore immediately at safe operating speed. Failure to comply may result in damage to equipment and injury or death to personnel.	
	WARNING	-1	796	3	28	0		35		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	797	3	28	0		35		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
	Emergency Dewatering Procedures - Continued	-1	798	3	28	0		35		1	Emergency Dewatering Procedures - Continued	This section provides instructions for operation and dewatering of boat during use.	
	This section provides instructions for operation and dewatering of boat during use.	-1	798	3	28	0		35		0	This section provides instructions for operation and dewatering of boat during use.		
1.	Ensure all crew members have donned Personal Flotation Device (PFDs).	2	799	3	28	0		35		0	Ensure all crew members have donned Personal Flotation Device (PFDs).	Ensure all crew members have donned personal flotation devices (PFDs) reduce throttle speed of boat to safe operating speeds. Have assistant open port, starboard and center-aft hatche's and check for water intrusion and damage hull lining if necessary! Turn bilge pump 1 (Figure 1, Item 1) and 2 (figure 2) operating switches to manual position and ensure operation lights illuminate (8) ). Figure 3. Manual Bilge Pump	
2.	Reduce throttles of boat to safe operating speed.	2	799	3	28	0		35		0	Reduce throttles of boat to safe operating speed.		
3.	Have assistant open port, starboard, and center aft hatches and check for water intrusion and hull damage.	2	799	3	28	0		35		0	Have assistant open port, starboard, and center aft hatches and check for water intrusion and hull damage.		
4.	Turn bilge pump 1 (Figure 1, Item 1) and bilge pump 2 (Figure 1, Item 3) operating switches to MANUAL position and ensure operation lights illuminate (Figure 1, Item 2). Figure 1. Bilge Operating Switches.	2	799	3	28	0		35	data/dod/rib_TM/images/img0243.jpg	0	Turn bilge pump 1 (Figure 1, Item 1) and bilge pump 2 (Figure 1, Item 3) operating switches to MANUAL position and ensure operation lights illuminate (Figure 1, Item 2). Figure 1. Bilge Operating Switches.		
5.	Ensure water is being pumped overboard at both forward (Figure 2, Item 1) and aft (Figure 2, Item 2) through-hull discharge points. Figure 2. Bilge Discharge Points. Emergency Dewatering Procedures - Continued	2	799	3	28	0		35	data/dod/rib_TM/images/img0244.jpg	0	Ensure water is being pumped overboard at both forward (Figure 2, Item 1) and aft (Figure 2, Item 2) through-hull discharge points. Figure 2. Bilge Discharge Points. Emergency Dewatering Procedures - Continued		
6.	Retrieve manual bilge pump (Figure 3, Item 2) from port bow hatch compartment (Figure 3, Item 1). Figure 3. Manual Bilge Pump Stowage. Emergency Dewatering Procedures - Continued NOTE If boat bow is down in water, place manual bilge in forward compartment.	2	799	3	28	0		35	data/dod/rib_TM/images/img0245.jpg	0	Retrieve manual bilge pump (Figure 3, Item 2) from port bow hatch compartment (Figure 3, Item 1). Figure 3. Manual Bilge Pump Stowage. Emergency Dewatering Procedures - Continued NOTE If boat bow is down in water, place manual bilge in forward compartment.		
7.	Place short suction hose (Figure 4, Item 2) into center aft hatch and place long discharge hose (Figure 4, Item 1) over side of boat. Figure 4. Manual Bilge Pump.	2	799	3	28	0		35	data/dod/rib_TM/images/img0246.jpg	0	Place short suction hose (Figure 4, Item 2) into center aft hatch and place long discharge hose (Figure 4, Item 1) over side of boat. Figure 4. Manual Bilge Pump.		
8.	Operate manual bilge pump to remove water from bilge.	2	799	3	28	0		35		0	Operate manual bilge pump to remove water from bilge.		
9.	Proceed to shore immediately.	2	799	3	28	0		35		0	Proceed to shore immediately.		
	END OF WORK PACKAGE	-1	800	3	28	0		35		1	END OF WORK PACKAGE		
	0031-4	-1	800	3	28	0		35		1	0031-4		
	OPERATOR INSTRUCTIONS	-1	801	3	28	0		35		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS PARALLELING BATTERIES	-1	802	3	29	0	OPERATION UNDER UNUSUAL CONDITIONS PARALLELING BATTERIES	36		0	OPERATION UNDER UNUSUAL CONDITIONS PARALLELING BATTERIES		Engine battery paralleling should only be used in case of emergency starting or low battery conditions. Only use parallel setting when a single battery bank is not sufficient to start the engine(s) or power the boat console. Failure to comply may result in damage to equipment. Battery banks have parallel capability in “1+2”. Turn all battery banks to “1+2 (Figure 1). Figure 1. Engine Battery Switches in Parallel.
	INITIAL SETUP:	-1	803	3	29	0		36		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	804	3	29	0		36		1	Personnel Required Diver 12D		
	Paralleling Batteries	-1	805	3	29	0		36		1	Paralleling Batteries		
	CAUTION	-1	805	3	29	0		36		1	CAUTION		
	Engine battery paralleling should only be used in case of emergency starting or low battery conditions. Only use parallel setting when a single battery bank is not sufficient to start the engine(s) or power the boat console. Failure to comply may result in damage to equipment.	-1	806	3	29	0		36		0	Engine battery paralleling should only be used in case of emergency starting or low battery conditions. Only use parallel setting when a single battery bank is not sufficient to start the engine(s) or power the boat console. Failure to comply may result in damage to equipment.	Engine battery paralleling should only be used in case of emergency starting or low battery conditions. Only use parallel setting when a single battery bank is not sufficient to start the engine(s) or power the boat console. Failure to comply may result in damage to equipment.	
	Battery banks have parallel capability in “1+2”.	-1	807	3	29	0		36		0	Battery banks have parallel capability in “1+2”.	Battery banks have parallel capability in “1+2”. Turn all battery banks to “1+2 (Figure 1). Figure 1. Engine Battery Switches in Parallel.	
	Turn all battery banks to “1+2 (Figure 1).	-1	807	3	29	0		36		0	Turn all battery banks to “1+2 (Figure 1).		
	Figure 1. Engine Battery Switches in Parallel.	-1	807	3	29	0		36	data/dod/rib_TM/images/img0247.jpg	0	Figure 1. Engine Battery Switches in Parallel.		
	END OF WORK PACKAGE	-1	807	3	29	0		36		1	END OF WORK PACKAGE		
	0032-1/blank	-1	807	3	29	0		36		1	0032-1/blank		
	OPERATOR INSTRUCTIONS	-1	808	3	29	0		36		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS CAPSIZING	-1	809	3	30	0	OPERATION UNDER UNUSUAL CONDITIONS CAPSIZING	37		0	OPERATION UNDER UNUSUAL CONDITIONS CAPSIZING		Adam morris: insufficient wind, waves, wakes could cause drowning if boat capsized! He says crew should stay with boat even when upside-down. Mcgill: Ensure personnel wear PFD at all times during operation of boats in water; failure to comply may result in injury or death. He says the boat will roll 90° and settle on its beam or 180° and settle with its beam. It'll also be able press microphone button and broadcast emergency assistance needed. For more information
	INITIAL SETUP:	-1	810	3	30	0		37		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	811	3	30	0		37		1	Personnel Required Diver 12D		
	Equipment Condition Boat Underway (WP 0010)	-1	811	3	30	0		37		1	Equipment Condition Boat Underway (WP 0010)		
	Emergency Procedures During Capsizing	-1	812	3	30	0		37		1	Emergency Procedures During Capsizing		
	WARNING	-1	812	3	30	0		37		1	WARNING		
•	Boat capsizing is an extremely dangerous situation. If the boat capsizes, operator should locate all persons and direct them to stay with the boat even if the boat is upside-down.	1	813	3	30	0		37		0	Boat capsizing is an extremely dangerous situation. If the boat capsizes, operator should locate all persons and direct them to stay with the boat even if the boat is upside-down.	Boat capsizing is an extremely dangerous situation. Operator should locate all persons and direct them to stay with the boat even when upside-down, says adam mcgill jr. He says insufficient wind, waves, wakes could cause drowning if boat capsized! Mmcgill: avoid following the boats roll in the direction of its roll; crew may get trapped underneath trawl thomas mc	
•	Do not overload greater than “BOAT INFORMATION” decal.	1	813	3	30	0		37		0	Do not overload greater than “BOAT INFORMATION” decal.		
•	Underwater dangers, hypothermia, and drowning should all be considered during a capsizing event.	1	813	3	30	0		37		0	Underwater dangers, hypothermia, and drowning should all be considered during a capsizing event.		
•	Avoid inclement winds, waves, and wakes greater than the boat can handle.	1	813	3	30	0		37		0	Avoid inclement winds, waves, and wakes greater than the boat can handle.		
•	Never follow the capsizing boat in the direction of its roll, personnel may get trapped underneath boat.	1	813	3	30	0		37		0	Never follow the capsizing boat in the direction of its roll, personnel may get trapped underneath boat.		
•	Avoid entanglement with boat mooring lines, cabin, and canopy, and never attempt to re-enter a capsized boat.	1	813	3	30	0		37		0	Avoid entanglement with boat mooring lines, cabin, and canopy, and never attempt to re-enter a capsized boat.		
•	Avoid engine propellers as they could still be spinning.	1	813	3	30	0		37		0	Avoid engine propellers as they could still be spinning.		
•	Failure to comply may result in injury and or death to personnel.	1	813	3	30	0		37		0	Failure to comply may result in injury and or death to personnel.		
	WARNING	-1	814	3	30	0		37		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	815	3	30	0		37		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
	Emergency Procedures During Capsizing - Continued	-1	816	3	30	0		37		1	Emergency Procedures During Capsizing - Continued		
	General Information	-1	816	3	30	0		37		1	General Information		
	Capsizing is when the boat leans to one side too far and is not able to right itself or regain proper position. During capsizing, the boat will roll 90° and settle on its beam or roll 180° and settle with its keel above water. The boat is inherently buoyant and is able to remain afloat after capsizing.	-1	817	3	30	0		37		0	Boat leans to one side too far and is not able right itself or regain proper position. During capsizing, the boat will roll 90° and settle on its beam or roll 180° and settle with it's	Boat leans to one side too far and is not able right itself or regain proper position. During capsizing, the boat will roll 90° and settle on its beam or roll 180° and settle with it's	
1.	Monitor VHF channel 16, press microphone button and broadcast emergency assistance needed.	2	818	3	30	0		37		0	Monitor VHF channel 16, press microphone button and broadcast emergency assistance needed.	Monitor VHF channel 16, press microphone button and broadcast emergency assistance needed. Lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call. Figure 1. Command Microphone Distress Button. Locate crew and guide them to boat. Instruct crew to hold onto boat or climb on top and to wait for assistance.	
2.	Lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call. Figure 1. Command Microphone Distress Button.	2	818	3	30	0		37	data/dod/rib_TM/images/img0248.jpg	0	Lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call. Figure 1. Command Microphone Distress Button.		
3.	Locate crew and guide them to boat.	2	818	3	30	0		37		0	Locate crew and guide them to boat.		
4.	Instruct crew to hold onto boat or climb on top and to wait for assistance.	2	818	3	30	0		37		0	Instruct crew to hold onto boat or climb on top and to wait for assistance.		
	END OF WORK PACKAGE	-1	819	3	30	0		37		1	END OF WORK PACKAGE		
	0033-2	-1	819	3	30	0		37		1	0033-2		
	OPERATOR INSTRUCTIONS	-1	820	3	30	0		37		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS COLLISION	-1	821	3	31	0	OPERATION UNDER UNUSUAL CONDITIONS COLLISION	38		0	OPERATION UNDER UNUSUAL CONDITIONS COLLISION		If the boat floods or begins to sink, operator should locate all persons. Avoid entanglement with boat lines, cabin, and canopy, and never attempt again a capsized boat is in water - steve mccartney jr. He says failure of comply may result injury and/or death to personnel ; check condition of crew & equipment 'check for damage to boat' he says operators should be aware of any potential dangers from collisions on boats. As many people
	INITIAL SETUP:	-1	822	3	31	0		38		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	823	3	31	0		38		1	Personnel Required Diver 12D		
	References WP 0031	-1	823	3	31	0		38		1	References WP 0031		
	Equipment Condition Boat Underway (WP 0010)	-1	823	3	31	0		38		1	Equipment Condition Boat Underway (WP 0010)		
	Emergency Procedures During Collision	-1	824	3	31	0		38		1	Emergency Procedures During Collision		
	WARNING	-1	824	3	31	0		38		1	WARNING		
•	Collision can be an extremely dangerous situation. If the boat floods or begins to sink, operator should locate all persons.	1	825	3	31	0		38		0	Collision can be an extremely dangerous situation. If the boat floods or begins to sink, operator should locate all persons.	Collision can be an extremely dangerous situation. If the boat floods or begins to sink, operator should locate all persons. If the boat capsizes, operator should locate all persons and direct them to stay with the boat even if the boat is upside-down. Never follow the capsizing boat in the direction of its roll, personnel may get trapped underneath boat. Avoid entanglement with boat mooring lines, cabin, and canopy, and never attempt to re-enter a capsized boat. Avoid engine propellers as they could still be spinning. Failure to comply may result in injury and or death to personnel.	
•	If the boat capsizes, operator should locate all persons and direct them to stay with the boat even if the boat is upside-down.	1	825	3	31	0		38		0	If the boat capsizes, operator should locate all persons and direct them to stay with the boat even if the boat is upside-down.		
•	Never follow the capsizing boat in the direction of its roll, personnel may get trapped underneath boat.	1	825	3	31	0		38		0	Never follow the capsizing boat in the direction of its roll, personnel may get trapped underneath boat.		
•	Avoid entanglement with boat mooring lines, cabin, and canopy, and never attempt to re-enter a capsized boat.	1	825	3	31	0		38		0	Avoid entanglement with boat mooring lines, cabin, and canopy, and never attempt to re-enter a capsized boat.		
•	Avoid engine propellers as they could still be spinning.	1	825	3	31	0		38		0	Avoid engine propellers as they could still be spinning.		
•	Failure to comply may result in injury and or death to personnel.	1	825	3	31	0		38		0	Failure to comply may result in injury and or death to personnel.		
	WARNING	-1	826	3	31	0		38		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	827	3	31	0		38		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
	Emergency Procedures During Collision - Continued	-1	828	3	31	0		38		1	Emergency Procedures During Collision - Continued		
	General Information	-1	828	3	31	0		38		1	General Information		
	Collision is the violent striking of a boat to another boat or object, generally sustaining damage to hull, equipment and injury or death to personnel.	-1	829	3	31	0		38		0	Collision is the violent striking of a boat to another boat or object, generally sustaining damage to hull, equipment and injury or death to personnel.	Collision is the violent striking of a boat to another boat or object, generally sustaining damage to hull, equipment and injury or death to personnel.	
1.	Check the condition of crew.	2	830	3	31	0		38		0	Check the condition of crew.	Check the condition of crew. Check for damage to boat. Monitor VHF channel 16, press microphone button and broadcast emergency assistance needed. Prepare to assist the other vessel unless crew or boat are in danger. Perform emergency dewatering procedures (WP 0031). If there is an immediate danger to life, lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.	
2.	Check for damage to boat.	2	830	3	31	0		38		0	Check for damage to boat.		
3.	Monitor VHF channel 16, press microphone button and broadcast emergency assistance needed.	2	830	3	31	0		38		0	Monitor VHF channel 16, press microphone button and broadcast emergency assistance needed.		
4.	Prepare to assist the other vessel unless crew or boat are in danger.	2	830	3	31	0		38		0	Prepare to assist the other vessel unless crew or boat are in danger.		
5.	Perform emergency dewatering procedures (WP 0031).	2	830	3	31	0		38		0	Perform emergency dewatering procedures (WP 0031).		
6.	If there is an immediate danger to life, lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.	2	830	3	31	0		38		0	If there is an immediate danger to life, lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.		
	Figure 1. Command Microphone Distress Button.	-1	831	3	31	0		38	data/dod/rib_TM/images/img0249.jpg	1	Figure 1. Command Microphone Distress Button.		
	END OF WORK PACKAGE	-1	831	3	31	0		38		1	END OF WORK PACKAGE		
	0034-2	-1	831	3	31	0		38		1	0034-2		
	OPERATOR INSTRUCTIONS	-1	832	3	31	0		38		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS RUNNING AGROUND	-1	833	3	32	0	OPERATION UNDER UNUSUAL CONDITIONS RUNNING AGROUND	39		0	OPERATION UNDER UNUSUAL CONDITIONS RUNNING AGROUND		Ensure personnel wear PFDs at all times during operation of boat in water. Running aground may immobilize the boat. Check the condition and condition of crew. If engine(e) vibrates excessively, it may indicate damage to propeller. While reversing, it may be possible for passengers and gear to shift weight and tilt up engine(ies). Failure to comply may result injury or death to personnel. See below for more information on how to keep your boat safe. Click here to get started. Back to page 1 of-
	INITIAL SETUP:	-1	834	3	32	0		39		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	835	3	32	0		39		1	Personnel Required Diver 12D		
	References WP 0021	-1	835	3	32	0		39		1	References WP 0021		
	Equipment Condition Boat Underway (WP 0010)	-1	835	3	32	0		39		1	Equipment Condition Boat Underway (WP 0010)		
	Emergency Procedures During Running Aground	-1	836	3	32	0		39		1	Emergency Procedures During Running Aground		
	WARNING	-1	836	3	32	0		39		1	WARNING		
	Operating in shallow waters can present a number of hazards. Sand bars in narrow inlets are constantly shifting. Sand bars can be indicated by waves as they form into breakers when passing over sand bars. In coastal areas, tides can change water levels by as much as 30 ft (9.1 m). Check with local marinas or Coast Guard stations for tide tables and current charts. Failure to comply may result in injury or death to personnel.	-1	837	3	32	0		39		0	Tides can change water levels by as much. As 30ft (9.1m) in coastal areas, tide changes by up to 30f (9.5m). Failure to comply may result injury or death to personnel. Check with local	Tides can change water levels by as much. As 30ft (9.1m) in coastal areas, tide changes by up to 30f (9.5m). Failure to comply may result injury or death to personnel. Check with local	
	WARNING	-1	838	3	32	0		39		1	WARNING		
	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	-1	839	3	32	0		39		0	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	Ensure personnel wear PFDs at all times during operation of boat in water. Failure to comply may result in injury or death to personnel.	
	CAUTION	-1	840	3	32	0		39		1	CAUTION		
	If tilting engines up while operating, ensure water intake screens remain below water surface and cooling water is discharging from engine water pump indicator. Failure to comply may result in damage to equipment.	-1	841	3	32	0		39		0	If tilting engines up while operating, ensure water intake screens remain below water surface and cooling water is discharging from engine water pump indicator. Failure to comply may result in damage to equipment.	If tilting engines up while operating, ensure water intake screens remain below water surface and cooling water is discharging from engine water pump indicator. Failure to comply may result in damage to equipment.	
	Emergency Procedures During Running Aground - Continued	-1	842	3	32	0		39		1	Emergency Procedures During Running Aground - Continued		
	Running aground may immobilize the boat. This generally occurs in shallow water preventing the boat from floating.	-1	843	3	32	0		39		0	Running aground may immobilize the boat. This generally occurs in shallow water preventing the boat from floating.	Running aground may immobilize the boat. This generally occurs in shallow water preventing the boat from floating.	
1.	Check the condition of crew.	2	844	3	32	0		39		0	Check the condition of crew.	Check the condition of crew. Check for damage to boat. Monitor VHF channel 16 , press microphone button and broadcast emergency assistance needed.	
2.	Check for damage to boat.	2	844	3	32	0		39		0	Check for damage to boat.		
3.	Monitor VHF channel 16 , press microphone button and broadcast emergency assistance needed.	2	844	3	32	0		39		0	Monitor VHF channel 16 , press microphone button and broadcast emergency assistance needed.		
	NOTE	-1	845	3	32	0		39		1	NOTE		
•	If engine(s) vibrate excessively after striking an underwater obstruction, it may indicate a damaged propeller. If vibration is noticeable, return to port slowly or stop engine(s).	1	846	3	32	0		39		0	If engine(s) vibrate excessively after striking an underwater obstruction, it may indicate a damaged propeller. If vibration is noticeable, return to port slowly or stop engine(s).	If engine(s) vibrate excessively after striking an underwater obstruction, it may indicate a damaged propeller. If vibration is noticeable, return to port slowly or stop engine(s). While aground, it may be possible to rock the boat by shifting weight of passengers and gear and slightly tilting up engine(s) while reversing.	
•	While aground, it may be possible to rock the boat by shifting weight of passengers and gear and slightly tilting up engine(s) while reversing.	1	846	3	32	0		39		0	While aground, it may be possible to rock the boat by shifting weight of passengers and gear and slightly tilting up engine(s) while reversing.		
4.	Observe engine monitor for engine overheat warnings (WP 0021).	2	847	3	32	0		39		0	Observe engine monitor for engine overheat warnings (WP 0021).	Observe engine monitor for engine overheat warnings (WP 0021). If there is an immediate danger to life, lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.	
5.	If there is an immediate danger to life, lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.	2	847	3	32	0		39		0	If there is an immediate danger to life, lift cover (Figure 1, Item 1) on command microphone and hold down “DISTRESS BUTTON” for three seconds to transmit a distress call.		
	Figure 1. Command Microphone Distress Button.	-1	848	3	32	0		39	data/dod/rib_TM/images/img0250.jpg	1	Figure 1. Command Microphone Distress Button.		
	END OF WORK PACKAGE	-1	848	3	32	0		39		1	END OF WORK PACKAGE		
	0035-2	-1	848	3	32	0		39		1	0035-2		
	OPERATOR INSTRUCTIONS	-1	849	3	32	0		39		1	OPERATOR INSTRUCTIONS		
	OPERATION UNDER UNUSUAL CONDITIONS LOSS OF STEERING CONTROL	-1	850	3	33	0	OPERATION UNDER UNUSUAL CONDITIONS LOSS OF STEERING CONTROL	40		0	OPERATION UNDER UNUSUAL CONDITIONS LOSS OF STEERING CONTROL		Dynamic power steering (DPS) may fail, causing resistance when changing directions. Failure to comply may result in injury and or death to personnel - but it is still possible if partial loss occurs a boat can safely operate back to dock 'wp 0010). Crew must take immediate action to prevent collision, capsizing, or ejection of crew unless they are fully protected ; wear hearing protection when engine is being operated. Keep emergency stop lanyard free from obstructions and entanglements
	INITIAL SETUP:	-1	851	3	33	0		40		1	INITIAL SETUP:		
	Personnel Required Diver 12D	-1	852	3	33	0		40		1	Personnel Required Diver 12D		
	References WP 0010 WP 0019	-1	852	3	33	0		40		1	References WP 0010 WP 0019		
	References (cont.) WP 0022 WP 0025	-1	852	3	33	0		40		1	References (cont.) WP 0022 WP 0025		
	Equipment Condition Boat Underway (WP 0010)	-1	852	3	33	0		40		1	Equipment Condition Boat Underway (WP 0010)		
	Partial Loss of Steering Control	-1	853	3	33	0		40		0	Partial Loss of Steering Control	Partial Loss of Steering Control	
	Dynamic power steering (DPS) may fail, causing resistance when changing steering directions, but will not cause total loss of steering control. During this instance it is still possible to safely operate the boat at reduced speed back to dock.	-1	854	3	33	0		40		0	Dynamic power steering (DPS) may fail, causing resistance when changing steering directions, but will not cause total loss of steering control. During this instance it is still possible to safely operate the boat at reduced speed back to dock.	Dynamic power steering (DPS) may fail, causing resistance when changing steering directions, but will not cause total loss of steering control. During this instance it is still possible to safely operate the boat at reduced speed back to dock.	
	If partial loss of steering control occurs, safely decrease throttle and make way back to shore (WP 0010).	-1	855	3	33	0		40		0	If partial loss of steering control occurs, safely decrease throttle and make way back to shore (WP 0010).	If partial loss of steering control occurs, safely decrease throttle and make way back to shore (WP 0010).	
	Complete Loss Of Steering Control	-1	855	3	33	0		40		1	Complete Loss Of Steering Control		
	WARNING	-1	855	3	33	0		40		1	WARNING		
